Rank,Team,W,L,T,PCT,G,AB,H,BA,IP,R,ER,ERA,PO,A,E
258,Fla. Southern (Sunshine State),8,40,0,0.167,27,569,134,0.236,308,405,331,7.52,772,215,81
258,Quincy (GLVC),8,40,0,0.167,27,569,134,0.236,308,405,331,7.52,772,215,81
261,Central Wash. (Great Northwest),6,32,0,0.158,48,1211,281,0.232,180.2,271,203,7.87,480,168,54
262,Newman (Mid-America Intercollegiate),7,43,0,0.14,44,1157,266,0.23,269,414,324,8.43,155,56,18
263,Allen (SIAC),3,24,0,0.111,40,998,226,0.226,202.1,318,256,8.86,625,213,72
264,Post (CACC),4,38,0,0.095,51,1302,294,0.226,265.1,419,344,9.08,708,234,81
265,Johnson C. Smith (CIAA),1,10,0,0.091,50,1258,283,0.225,238.1,390,329,9.66,624,282,80
266,Adams St. (RMAC),5,51,0,0.089,42,961,214,0.223,316,587,492,10.9,542,246,71
267,Lake Erie (G-MAC),2,44,0,0.043,46,1039,228,0.219,51.2,95,87,11.79,688,249,88
268,Bloomfield (CACC),0,36,0,0,36,786,131,0.167,138.2,329,246,12.42,416,139,67
